distrito_nombre,agrupacion_nombre,lista_numero,votos_cantidad
Ciudad Autónoma de Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,62254
Ciudad Autónoma de Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,15760
Ciudad Autónoma de Buenos Aires,FRENTE LIBER.AR,3002,41
Ciudad Autónoma de Buenos Aires,FRENTE LIBER.AR,3003,21
Ciudad Autónoma de Buenos Aires,FRENTE LIBER.AR,3004,105
Ciudad Autónoma de Buenos Aires,FRENTE PATRIOTA FEDERAL,3021,2715
Ciudad Autónoma de Buenos Aires,HACEMOS POR NUESTRO PAIS,3001,15886
Ciudad Autónoma de Buenos Aires,JUNTOS POR EL CAMBIO,3007,337254
Ciudad Autónoma de Buenos Aires,JUNTOS POR EL CAMBIO,3008,476010
Ciudad Autónoma de Buenos Aires,LA LIBERTAD AVANZA,3016,299097
Ciudad Autónoma de Buenos Aires,MOVIMIENTO AL SOCIALISMO,3017,7198
Ciudad Autónoma de Buenos Aires,MOVIMIENTO DE ACCION VECINAL,3025,2691
Ciudad Autónoma de Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,1249
Ciudad Autónoma de Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,4937
Ciudad Autónoma de Buenos Aires,MOVIMIENTO LIBRES DEL SUR,3019,3754
Ciudad Autónoma de Buenos Aires,POLITICA OBRERA,3020,4454
Ciudad Autónoma de Buenos Aires,PRINCIPIOS Y VALORES,3011,22233
Ciudad Autónoma de Buenos Aires,PROYECTO JOVEN,3022,18
Ciudad Autónoma de Buenos Aires,PROYECTO JOVEN,3023,20
Ciudad Autónoma de Buenos Aires,PROYECTO JOVEN,3024,23
Ciudad Autónoma de Buenos Aires,UNION DEL CENTRO DEMOCRATICO,3018,2230
Ciudad Autónoma de Buenos Aires,UNION POR LA PATRIA,3005,276942
Ciudad Autónoma de Buenos Aires,UNION POR LA PATRIA,3006,120112
Corrientes,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,3836
Corrientes,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,2219
Corrientes,FRENTE LIBER.AR,3002,34
Corrientes,FRENTE LIBER.AR,3003,7
Corrientes,FRENTE LIBER.AR,3004,41
Corrientes,FRENTE PATRIOTA FEDERAL,3021,969
Corrientes,HACEMOS POR NUESTRO PAIS,3001,8929
Corrientes,JUNTOS POR EL CAMBIO,3007,67140
Corrientes,JUNTOS POR EL CAMBIO,3008,145964
Corrientes,LA LIBERTAD AVANZA,3016,181456
Corrientes,MOVIMIENTO AL SOCIALISMO,3017,2686
Corrientes,MOVIMIENTO DE ACCION VECINAL,3025,1358
Corrientes,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,918
Corrientes,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,1169
Corrientes,MOVIMIENTO LIBRES DEL SUR,3019,3770
Corrientes,POLITICA OBRERA,3020,1449
Corrientes,PRINCIPIOS Y VALORES,3011,3189
Corrientes,PRINCIPIOS Y VALORES,3012,53
Corrientes,PRINCIPIOS Y VALORES,3013,17
Corrientes,PRINCIPIOS Y VALORES,3014,13
Corrientes,PRINCIPIOS Y VALORES,3015,14
Corrientes,PROYECTO JOVEN,3022,16
Corrientes,PROYECTO JOVEN,3023,56
Corrientes,PROYECTO JOVEN,3024,3
Corrientes,UNION DEL CENTRO DEMOCRATICO,3018,43
Corrientes,UNION POR LA PATRIA,3005,161865
Corrientes,UNION POR LA PATRIA,3006,20793
Córdoba,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,19752
Córdoba,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,11383
Córdoba,FRENTE LIBER.AR,3002,1512
Córdoba,FRENTE LIBER.AR,3004,1564
Córdoba,FRENTE PATRIOTA FEDERAL,3021,2867
Córdoba,HACEMOS POR NUESTRO PAIS,3001,564182
Córdoba,JUNTOS POR EL CAMBIO,3007,130771
Córdoba,JUNTOS POR EL CAMBIO,3008,384685
Córdoba,LA LIBERTAD AVANZA,3016,688684
Córdoba,MOVIMIENTO AL SOCIALISMO,3017,3893
Córdoba,MOVIMIENTO DE ACCION VECINAL,3025,2471
Córdoba,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,1009
Córdoba,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027,2404
Córdoba,MOVIMIENTO LIBRES DEL SUR,3019,4565
Córdoba,POLITICA OBRERA,3020,2123
Córdoba,PRINCIPIOS Y VALORES,3011,10419
Córdoba,PRINCIPIOS Y VALORES,3012,1934
Córdoba,PRINCIPIOS Y VALORES,3015,1431
Córdoba,PROYECTO JOVEN,3022,2144
Córdoba,PROYECTO JOVEN,3023,731
Córdoba,PROYECTO JOVEN,3024,760
Córdoba,UNION DEL CENTRO DEMOCRATICO,3018,61
Córdoba,UNION POR LA PATRIA,3005,126219
Córdoba,UNION POR LA PATRIA,3006,51309
Entre Ríos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009,5671
Entre Ríos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010,4365
Entre Ríos,FRENTE LIBER.AR,3002,201
Entre Ríos,FRENTE LIBER.AR,3003,37
Entre Ríos,FRENTE LIBER.AR,3004,375
Entre Ríos,FRENTE PATRIOTA FEDERAL,3021,1643
Entre Ríos,HACEMOS POR NUESTRO PAIS,3001,9425
Entre Ríos,JUNTOS POR EL CAMBIO,3007,90440
Entre Ríos,JUNTOS POR EL CAMBIO,3008,166823
Entre Ríos,LA LIBERTAD AVANZA,3016,176164
Entre Ríos,MOVIMIENTO AL SOCIALISMO,3017,1885
Entre Ríos,MOVIMIENTO DE ACCION VECINAL,3025,1238
Entre Ríos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026,912
