distrito_nombre,agrupacion_id,agrupacion_nombre,votos_cantidad
San Juan,135,LA LIBERTAD AVANZA,155821
San Juan,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,10025
San Luis,132,JUNTOS POR EL CAMBIO,66824
San Luis,133,HACEMOS POR NUESTRO PAIS,20017
San Luis,134,UNION POR LA PATRIA,86681
San Luis,135,LA LIBERTAD AVANZA,138251
San Luis,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6964
Santa Cruz,132,JUNTOS POR EL CAMBIO,28101
Santa Cruz,133,HACEMOS POR NUESTRO PAIS,11311
Santa Cruz,134,UNION POR LA PATRIA,65062
Santa Cruz,135,LA LIBERTAD AVANZA,62350
Santa Cruz,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4948
Santa Fe,132,JUNTOS POR EL CAMBIO,544677
Santa Fe,133,HACEMOS POR NUESTRO PAIS,183205
Santa Fe,134,UNION POR LA PATRIA,601241
Santa Fe,135,LA LIBERTAD AVANZA,657813
Santa Fe,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,38553
Santiago del Estero,132,JUNTOS POR EL CAMBIO,49761
Santiago del Estero,133,HACEMOS POR NUESTRO PAIS,13305
Santiago del Estero,134,UNION POR LA PATRIA,402863
Santiago del Estero,135,LA LIBERTAD AVANZA,141344
Santiago del Estero,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7785
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",132,JUNTOS POR EL CAMBIO,15875
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",133,HACEMOS POR NUESTRO PAIS,9714
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",134,UNION POR LA PATRIA,40548
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",135,LA LIBERTAD AVANZA,35891
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4091
Tucumán,132,JUNTOS POR EL CAMBIO,153130
Tucumán,133,HACEMOS POR NUESTRO PAIS,42086
Tucumán,134,UNION POR LA PATRIA,471145
Tucumán,135,LA LIBERTAD AVANZA,365992
Tucumán,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15152
