distrito_nombre,agrupacion_nombre,lista_numero,votos_cantidad,eleccion
Chubut,LA LIBERTAD AVANZA,3016.0,124030,PASO
Chubut,MOVIMIENTO AL SOCIALISMO,3017.0,1959,PASO
Chubut,MOVIMIENTO DE ACCION VECINAL,3025.0,819,PASO
Chubut,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,128,PASO
Chubut,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,1022,PASO
Chubut,MOVIMIENTO LIBRES DEL SUR,3019.0,1926,PASO
Chubut,POLITICA OBRERA,3020.0,1367,PASO
Chubut,PRINCIPIOS Y VALORES,3011.0,3094,PASO
Chubut,PRINCIPIOS Y VALORES,3013.0,15,PASO
Chubut,PRINCIPIOS Y VALORES,3014.0,1,PASO
Chubut,PRINCIPIOS Y VALORES,3015.0,17,PASO
Chubut,PROYECTO JOVEN,3022.0,27,PASO
Chubut,PROYECTO JOVEN,3023.0,26,PASO
Chubut,PROYECTO JOVEN,3024.0,22,PASO
Chubut,UNION DEL CENTRO DEMOCRATICO,3018.0,96,PASO
Chubut,UNION POR LA PATRIA,3005.0,52536,PASO
Chubut,UNION POR LA PATRIA,3006.0,19294,PASO
Ciudad Autónoma de Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,62254,PASO
Ciudad Autónoma de Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,15760,PASO
Ciudad Autónoma de Buenos Aires,FRENTE LIBER.AR,3002.0,41,PASO
Ciudad Autónoma de Buenos Aires,FRENTE LIBER.AR,3003.0,21,PASO
Ciudad Autónoma de Buenos Aires,FRENTE LIBER.AR,3004.0,105,PASO
Ciudad Autónoma de Buenos Aires,FRENTE PATRIOTA FEDERAL,3021.0,2715,PASO
Ciudad Autónoma de Buenos Aires,HACEMOS POR NUESTRO PAIS,3001.0,15886,PASO
Ciudad Autónoma de Buenos Aires,JUNTOS POR EL CAMBIO,3007.0,337254,PASO
Ciudad Autónoma de Buenos Aires,JUNTOS POR EL CAMBIO,3008.0,476010,PASO
Ciudad Autónoma de Buenos Aires,LA LIBERTAD AVANZA,3016.0,299097,PASO
Ciudad Autónoma de Buenos Aires,MOVIMIENTO AL SOCIALISMO,3017.0,7198,PASO
Ciudad Autónoma de Buenos Aires,MOVIMIENTO DE ACCION VECINAL,3025.0,2691,PASO
Ciudad Autónoma de Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3026.0,1249,PASO
Ciudad Autónoma de Buenos Aires,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,3027.0,4937,PASO
Ciudad Autónoma de Buenos Aires,MOVIMIENTO LIBRES DEL SUR,3019.0,3754,PASO
Ciudad Autónoma de Buenos Aires,POLITICA OBRERA,3020.0,4454,PASO
Ciudad Autónoma de Buenos Aires,PRINCIPIOS Y VALORES,3011.0,22233,PASO
Ciudad Autónoma de Buenos Aires,PROYECTO JOVEN,3022.0,18,PASO
Ciudad Autónoma de Buenos Aires,PROYECTO JOVEN,3023.0,20,PASO
Ciudad Autónoma de Buenos Aires,PROYECTO JOVEN,3024.0,23,PASO
Ciudad Autónoma de Buenos Aires,UNION DEL CENTRO DEMOCRATICO,3018.0,2230,PASO
Ciudad Autónoma de Buenos Aires,UNION POR LA PATRIA,3005.0,276942,PASO
Ciudad Autónoma de Buenos Aires,UNION POR LA PATRIA,3006.0,120112,PASO
Corrientes,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3009.0,3836,PASO
Corrientes,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3010.0,2219,PASO
